lang_pair,src_num_texts,src_num_tokens,src_num_segments,tgt_num_texts,tgt_num_tokens,tgt_num_segments,tot_num_tokens
dan_Latn-nld_Latn,16561876,246067508,14943446,16561876,264645296,14188471,510712804
dan_Latn-nor_Latn,17682797,249620155,15491053,17682797,246743147,15167038,496363302
fin_Latn-swe_Latn,18143082,214942693,16390305,18143082,276295883,16416120,491238576
dan_Latn-ita_Latn,14651821,234390855,13362661,14651821,253242662,12484859,487633517
spa_Latn-slv_Latn,16329409,266369647,13202853,16329409,217241091,13291608,483610738
fra_Latn-slv_Latn,16574357,267269327,12916043,16574357,215420041,13337229,482689368
aze_Latn-rus_Cyrl,22725014,221246106,20562954,22725014,254375455,22050647,475621561
ara_Arab-ces_Latn,29326768,238140806,15384897,29326768,237131695,28359706,475272501
bul_Cyrl-ita_Latn,14013265,230358522,12398153,14013265,242810398,11870473,473168920
deu_Latn-srp_Latn,26060685,247986363,23814439,26060685,224821434,23585500,472807797
cym_Latn-eng_Latn,18902275,238183627,14573359,18902275,233184136,37314435,471367763
dan_Latn-por_Latn,14016436,223128271,12854188,14016436,243171028,12427303,466299299
ces_Latn-rus_Cyrl,25174719,231135065,19973568,25174719,232726089,19671443,463861154
bel_Cyrl-rus_Cyrl,19474227,230491030,18468073,19474227,233235314,19281372,463726344
fra_Latn-ind_Latn,20024194,245409171,15770359,20024194,204422742,15654915,449831913
spa_Latn-fas_Arab,19189893,216116903,15634920,19189893,223092313,13548029,439209216
ces_Latn-swe_Latn,22564823,213199931,17704372,22564823,225969798,17076139,439169729
fra_Latn-glg_Latn,23724163,230788698,19623350,23724163,203411867,18985392,434200565
ara_Arab-ell_Grek,25826720,203948124,13095295,25826720,227145297,26042312,431093421
ara_Arab-hun_Latn,28097341,217934165,14349009,28097341,208104260,26020881,426038425
bul_Cyrl-pol_Latn,19468888,223925859,15801662,19468888,201959151,15954224,425885010
eng_Latn-mkd_Cyrl,17409098,215499116,34498418,17409098,209946626,14490382,425445742
hun_Latn-ita_Latn,13499714,193213681,12017751,13499714,232055811,11339377,425269492
ara_Arab-ind_Latn,20502829,209038531,13509704,20502829,212785469,17513063,421824000
eng_Latn-kir_Cyrl,21599810,251374890,43907621,21599810,168343055,17707685,419717945
spa_Latn-zho_Hani,23454354,381782456,20245923,23454354,37634064,41765790,419416520
spa_Latn-tur_Latn,22791118,232577293,16956991,22791118,176363244,16925130,408940537
ara_Arab-vie_Latn,15476543,163839523,10685029,15476543,240323036,11673796,404162559
fra_Latn-tur_Latn,22610897,229237198,16382487,22610897,168109642,16974776,397346840
ara_Arab-swe_Latn,20120235,193690325,12398258,20120235,201863176,18617169,395553501
fra_Latn-heb_Hebr,23175837,223805430,16752019,23175837,168209040,16003922,392014470
spa_Latn-heb_Hebr,22027386,218820781,16676433,22027386,170305270,15283722,389126051
eng_Latn-nep_Deva,21197431,193890668,42153212,21197431,193940997,3646205,387831665
