lang_code,num_texts,num_tokens,num_segments
snk_Latn,28,7953,689
anp_Latn,15,7726,176
niv_Cyrl,338,7707,575
gld_Cyrl,174,7667,996
kpy_Cyrl,306,7576,735
xkg_Latn,18,7398,386
bze_Latn,4,7227,464
niv_Latn,152,6744,623
gan_Latn,74,6368,250
rap_Latn,317,5869,269
stk_Latn,7,5274,459
tuz_Latn,8,5241,350
tcy_Latn,10,4750,959
the_Deva,12,4643,15
mzm_Latn,7,4569,239
sdk_Latn,10,4223,405
wni_Latn,14,4105,443
rki_Latn,7,4033,93
cdo_Hani,162,3975,89
hak_Hani,120,3893,87
cbr_Latn,12,3841,260
xal_Latn,13,3801,102
ady_Latn,87,3703,252
lsi_Latn,22,3552,208
zxx_Zyyy,25,3471,585
doi_Deva,5,3411,19
oki_Latn,6,3383,270
kim_Cyrl,137,3298,374
chy_Latn,133,3120,230
ded_Latn,2,2975,238
pli_Deva,50,2831,61
nog_Latn,73,2604,457
jmx_Latn,14,2593,223
hnj_Latn,57,2589,58
kmg_Latn,14,2571,333
azn_Latn,7,2514,248
kpv_Latn,113,2404,352
khb_Talu,27,2305,0
nlv_Latn,6,2233,256
hro_Latn,3,2207,210
ang_Runr,7,2186,115
bug_Bugi,30,2158,21
ybi_Deva,8,2109,0
cmo_Khmr,18,2012,63
gwc_Arab,16,1981,0
ybh_Deva,4,1928,0
sea_Latn,2,1922,128
ymp_Latn,5,1887,168
ttt_Cyrl,38,1877,143
mrn_Latn,6,1867,133
zha_Hani,16,1848,129
tnn_Latn,9,1779,153
bra_Deva,7,1654,0
qve_Latn,3,1586,122
nsn_Latn,8,1584,118
omw_Latn,10,1503,183
lmp_Latn,3,1495,96
dty_Latn,20,1479,152
gag_Cyrl,3,1419,103
hre_Latn,1,1350,69
lbe_Latn,22,1347,50
kwd_Latn,16,1302,150
awa_Latn,9,1285,29
lan_Latn,2,1270,80
kmu_Latn,9,1262,195
pkb_Latn,2,1259,64
dar_Cyrl,56,1251,138
bwx_Latn,13,1240,62
fli_Latn,2,1209,74
inh_Latn,33,1143,127
vif_Latn,3,1130,65
saq_Latn,2,1115,75
lue_Latn,49,1075,58
pnt_Latn,10,1074,30
mgo_Latn,2,1071,80
hig_Latn,2,1063,61
tdg_Deva,15,1037,0
nxl_Latn,3,968,97
lgg_Latn,3,954,79
csw_Cans,1,945,67
bwt_Latn,2,942,68
avk_Cyrl,2,940,79
chp_Cans,1,893,45
mgm_Latn,13,884,94
kam_Latn,20,883,64
bud_Latn,2,880,72
szy_Hani,15,870,91
lzh_Hani,50,825,4
baw_Latn,2,814,68
nqo_Latn,2,804,1
tpl_Latn,1,793,40
bxa_Latn,2,771,61
isu_Latn,1,769,40
kbq_Latn,4,763,61
xmm_Latn,1,754,35
tnl_Latn,9,746,98
bkm_Latn,7,736,60
olo_Cyrl,2,727,232
tio_Latn,2,722,57
gou_Latn,1,719,41
fuh_Latn,2,712,73
mry_Latn,4,696,79
csw_Latn,1,688,67
ddg_Latn,8,672,56
nst_Latn,2,663,38
sxb_Latn,1,644,34
mlk_Latn,2,623,31
tvs_Latn,1,622,41
eve_Cyrl,13,614,59
nxa_Latn,10,609,87
rnl_Latn,1,608,41
llg_Latn,1,599,41
gal_Latn,7,594,65
arc_Latn,12,593,13
psp_Latn,5,593,81
yin_Latn,2,589,35
enb_Latn,1,582,31
tom_Latn,1,581,41
kea_Latn,34,580,56
ybb_Latn,1,574,35
tnt_Latn,1,566,32
agq_Latn,1,565,39
ssn_Latn,1,555,35
dug_Latn,1,554,37
odk_Arab,2,552,13
amp_Latn,3,547,57
mkz_Latn,9,546,73
bhs_Latn,1,538,36
nla_Latn,1,529,36
njy_Latn,1,525,36
idt_Latn,6,524,60
otq_Arab,2,517,103
mfh_Latn,1,510,35
cuv_Latn,1,507,35
lns_Latn,1,504,37
mqj_Latn,1,500,27
bri_Latn,1,499,36
bkh_Latn,1,491,35
mfj_Latn,1,481,36
xmd_Latn,1,478,34
gbj_Orya,1,473,0
wnk_Latn,1,472,43
azo_Latn,1,465,36
mgg_Latn,1,465,36
rel_Latn,1,464,31
tbj_Latn,1,462,33
chu_Latn,4,454,13
cuh_Latn,3,452,46
blk_Latn,1,450,133
ngn_Latn,1,447,34
wms_Latn,1,445,42
xmg_Latn,1,439,36
fub_Latn,3,438,60
yas_Latn,1,438,36
bbk_Latn,1,435,35
bfm_Latn,1,433,35
bgf_Latn,1,423,31
ewo_Latn,1,422,36
hna_Latn,1,422,37
nge_Latn,1,418,36
pex_Latn,3,415,50
bax_Latn,1,411,34
ags_Latn,1,410,38
mlw_Latn,1,408,36
nza_Latn,1,407,38
hla_Latn,1,406,33
kqr_Latn,2,404,50
mnf_Latn,1,404,37
ozm_Latn,1,403,36
pnz_Latn,1,403,35
bfd_Latn,1,394,34
lfa_Latn,1,388,33
ken_Latn,1,386,35
bqm_Latn,1,383,34
bag_Latn,1,380,36
cre_Cans,13,369,9
kms_Latn,1,365,33
nco_Latn,3,365,57
jgo_Latn,1,354,24
sgd_Latn,5,349,35
bss_Latn,1,348,36
sml_Latn,2,334,50
tkr_Cyrl,14,332,30
mmu_Latn,1,331,31
ajz_Latn,1,330,52
mxu_Latn,1,330,27
dig_Latn,1,324,39
nwe_Latn,1,324,27
udi_Cyrl,16,324,36
lgr_Latn,2,309,29
yav_Latn,1,309,30
ekm_Latn,1,306,32
pmf_Latn,1,306,20
bce_Latn,1,304,35
tod_Latn,1,298,21
sps_Latn,2,295,26
yrk_Latn,18,295,6
bef_Latn,1,293,31
qvo_Latn,3,291,50
quz_Latn,7,289,18
tsb_Latn,1,287,29
emp_Cyrl,3,286,36
zaw_Latn,1,286,23
bkx_Latn,4,281,35
jra_Khmr,7,274,0
bfn_Latn,5,273,41
nwi_Latn,6,269,46
buo_Latn,1,265,32
